,name,rating,reviews,price,brand
89,Generic 1 Side Or Single Sided Wooden Beard & Hair Combing Brush,3.2 out of 5,(5 ratings),KSh 599,Generic
90,Fashion  3pcs Eyebrow Shaping Stencils Thrush Card Tool Card Template,3.3 out of 5,(7 ratings),KSh 162,Fashion
91,Generic 10pcs Makeup Brushes Set For Foundation Powder Blush,0 out of 5,(No ratings available),KSh 389,Generic
92,Generic 24 Pieces Professional Bamboo Makeup Brush Set,5 out of 5,(1 rating),"KSh 1,250",Generic
93,"Fashion 5 In One Multifunctional Deep Cleansing Electric Facial Cleansing Device,Pale Violet Red",3.5 out of 5,(14 ratings),KSh 889,Fashion
94,Generic 20pcs Eyeshadow Shields Under Eye Patches Eyelash Extensions Protect Pad White,4.3 out of 5,(3 ratings),"KSh 1,174",Generic
95,Generic 1Pc False Eyelashes Glue Dryer Eyelash Extension Air Blower Dust Blowing Balloons Drying Tool,4.5 out of 5,(2 ratings),KSh 906,Generic
96,Generic Women Portable Waterproof Travel Wash Makeup Storage Bag,0 out of 5,(No ratings available),KSh 535,Generic
97,Generic 360°Rotating Spin Cosmetic Organizer Makeup Desktop Box Storage Rack Case Holder White,4.7 out of 5,(3 ratings),"KSh 1,589",Generic
98,Generic 6ml Refillable Perfume Scent Spray Bottle Parfum Dispenser Empty Bottle bright silver,5 out of 5,(2 ratings),"KSh 1,793",Generic
99,Technic Eyelash Curler,4.4 out of 5,(5 ratings),KSh 450,Technic
100,Fashion 7Pcs Professional Makeup Brushes Foudation Brushes -Purple,0 out of 5,(No ratings available),KSh 305,Fashion
101,Fashion 10Pcs Professional Makeup Brushe Set With Storage Bag,3.8 out of 5,(20 ratings),KSh 699,Fashion
102,Fashion Makeup Brush Set Five Pieces Synthetic Hair,0 out of 5,(No ratings available),KSh 250,Fashion
103,Generic 10pcs Makeup Brushes Set For Foundation Powder Blush,3.9 out of 5,(8 ratings),KSh 940,Generic
104,Makeup Setting Spray Snail Gel 99% Make Up Fix - 200ml,4.3 out of 5,(43 ratings),KSh 400,(43 ratings)
105,Generic Double-Sided   Mirror Normal Magnifying Stand Shaving,0 out of 5,(No ratings available),KSh 740,Generic
106,Fashion 3 PCS Colorful Eyebrow Trimmer.,3.5 out of 5,(2 ratings),KSh 162,Fashion
107,Fashion Acrylic Makeup Organizer Cosmetic Bag  Lipstick Storage,0 out of 5,(No ratings available),KSh 699,Fashion
108,Fashion 7pcs Makeup Brush Set,0 out of 5,(No ratings available),KSh 400,Fashion
109,Generic Organizer Cotton Pads Storage Box Jar Acrylic Square Container,0 out of 5,(No ratings available),KSh 828,Generic
